"","playlist.id","playlist.name","playlist.description","followers.total","owner.display_name","owner.uri","tracks.limit","tracks.total","playlist.extracteddate"
1660,"37i9dQZEVXbNZbJ6TZelCq","Top 50 - Romania","Your daily update of the most played tracks right now - Romania.",27868,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1661,"37i9dQZEVXbLrQBcXqUtaC","Top 50 - Saudi Arabia","Your daily update of the most played tracks right now - Saudi Arabia.",5525,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1662,"37i9dQZEVXbK4gjvS1FjPY","Top 50 - Singapore","Your daily update of the most played tracks right now - Singapore.",129716,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1663,"37i9dQZEVXbKIVTPX9a2Sb","Top 50 - Slovakia","Your daily update of the most played tracks right now - Slovakia.",20447,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1664,"37i9dQZEVXbMH2jvi6jvjk","Top 50 - South Africa","Your daily update of the most played tracks right now - South Africa.",31405,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1665,"37i9dQZEVXbNxXF4SkHj9F","Top 50 - South Korea","Your daily update of the most played tracks right now - South Korea.",67171,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1666,"37i9dQZEVXbNFJfN1Vw8d9","Top 50 - Spain","Your daily update of the most played tracks right now - Spain.",1514473,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1667,"6zFJ2HTXC3d38AgpfcPGph","Top 50 - Suriname","Your weekly update of the most played tracks right now - Suriname.",114,"Spotify","spotify:user:by1zq46ly1v79bl16d296hy41",100,48,"2022-11-28"
1668,"37i9dQZEVXbLoATJ81JYXz","Top 50 - Sweden","Your daily update of the most played tracks right now - Sweden.",603024,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1669,"37i9dQZEVXbJiyhoAPEfMK","Top 50 - Switzerland","Your daily update of the most played tracks right now - Switzerland.",120194,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1670,"37i9dQZEVXbMnZEatlMSiu","Top 50 - Taiwan","Your daily update of the most played tracks right now - Taiwan.",198475,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1671,"37i9dQZEVXbMnz8KIWsvf9","Top 50 - Thailand","Your daily update of the most played tracks right now - Thailand.",133912,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1672,"37i9dQZEVXbIVYVBNw9D5K","Top 50 - Turkey","Your daily update of the most played tracks right now - Turkey.",779720,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1673,"37i9dQZEVXbM4UZuIrvHvA","Top 50 - UAE","Your daily update of the most played tracks right now - UAE.",2769,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1674,"37i9dQZEVXbLRQDuF5jeBp","Top 50 - USA","Your daily update of the most played tracks right now - USA.",3415067,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1675,"37i9dQZEVXbKkidEfWYRuD","Top 50 - Ukraine","Your daily update of the most played tracks right now - Ukraine.",20622,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1676,"37i9dQZEVXbLnolsZ8PSNw","Top 50 - United Kingdom","Your daily update of the most played tracks right now - United Kingdom.",2180349,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1677,"37i9dQZEVXbLdGSmz6xilI","Top 50 - Vietnam","Your daily update of the most played tracks right now - Vietnam.",75997,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1678,"5atgcoJ9pDa39CzCYdXkRi","Top 50 Polska","Twoja codzienna dawka aktualnie najpopularniejszych utworów w Polsce.",758,"Spotify","spotify:user:2156hfddk45dmqcy372ryrvzi",100,50,"2022-11-28"
1679,"3seAKhZ9QXirBjL9lazOi4","Top 50+ Zimbabwe","Top Fresh Music Playlist. Updated Daily, refreshed every Saturday! Trending 2022 Trends Only! Vibes all way! @llermaz",101,"Spotify","spotify:user:31p7pd2zove76npybdfyl5b3gywm",100,273,"2022-11-28"
1680,"37i9dQZEVXbMMy2roB9myp","Top 50 - Argentina","Your daily update of the most played tracks right now - Argentina.",1276664,"Spotify","spotify:user:spotify",100,50,"2022-11-29"
1681,"37i9dQZEVXbJPcfkRz0wJ0","Top 50 - Australia","Your daily update of the most played tracks right now - Australia.",809073,"Spotify","spotify:user:spotify",100,50,"2022-11-29"
1682,"37i9dQZEVXbKNHh6NIXu36","Top 50 - Austria","Your daily update of the most played tracks right now - Austria.",118051,"Spotify","spotify:user:spotify",100,50,"2022-11-29"
1683,"37i9dQZEVXbJNSeeHswcKB","Top 50 - Belgium","Your daily update of the most played tracks right now - Belgium.",267998,"Spotify","spotify:user:spotify",100,50,"2022-11-29"
